                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3964,                 1.2138,                 1.6444,                0.86255,                0.82139,                0.87086,                0.58858,                  1.246,                  1.059,                 1.5947,               0.003268,               0.003268,               0.003268
                     36,                 1.4143,                  1.249,                 1.6437,                0.85945,                0.83441,                0.84706,                0.57482,                 1.2363,                 1.0578,                  1.574,                0.00307,                0.00307,                0.00307
                     37,                 1.4047,                 1.2067,                 1.6204,                0.90882,                0.80649,                0.88343,                0.61167,                 1.2227,                 1.0073,                 1.5646,               0.002872,               0.002872,               0.002872
                     38,                 1.3635,                 1.1593,                 1.6023,                0.90083,                0.81936,                 0.8837,                0.63088,                 1.1985,                 1.0147,                 1.5444,               0.002674,               0.002674,               0.002674
                     39,                 1.3656,                  1.177,                 1.6001,                0.87388,                0.82781,                0.86988,                0.62572,                 1.1763,                 1.0375,                 1.5245,               0.002476,               0.002476,               0.002476
                     40,                  1.307,                 1.1092,                 1.6268,                0.89538,                0.83149,                0.88941,                0.62086,                  1.216,                0.97993,                 1.5299,               0.002278,               0.002278,               0.002278
                     41,                 1.2841,                 1.0438,                  1.573,                0.94638,                0.82446,                0.89845,                0.64427,                 1.1612,                0.96048,                 1.5146,                0.00208,                0.00208,                0.00208
                     42,                 1.2599,                 1.0381,                  1.588,                0.92235,                0.85163,                 0.9013,                0.66354,                 1.1356,                0.91186,                 1.4786,               0.001882,               0.001882,               0.001882
                     43,                 1.2209,                0.98763,                 1.5502,                0.93986,                0.82777,                0.90494,                0.65066,                 1.1473,                0.91361,                 1.4827,               0.001684,               0.001684,               0.001684
                     44,                 1.2102,                0.99332,                 1.5299,                0.92735,                0.83996,                0.90544,                0.64975,                 1.1172,                0.90514,                  1.464,               0.001486,               0.001486,               0.001486
                     45,                 1.2081,                0.95983,                 1.5271,                0.93249,                  0.862,                0.91344,                0.67383,                  1.109,                0.88656,                 1.4437,               0.001288,               0.001288,               0.001288
                     46,                 1.1903,                0.95682,                 1.5147,                0.93179,                0.85674,                 0.9186,                0.68215,                 1.0584,                 0.8544,                  1.422,                0.00109,                0.00109,                0.00109
                     47,                 1.1263,                 0.9258,                 1.4833,                0.95004,                0.85559,                0.91693,                0.69198,                   1.04,                0.83759,                 1.4121,               0.000892,               0.000892,               0.000892
                     48,                 1.1554,                0.92654,                 1.4824,                0.93201,                0.85994,                0.91397,                0.69575,                 1.0435,                0.83936,                 1.4057,               0.000694,               0.000694,               0.000694
                     49,                 1.1366,                0.92543,                 1.4744,                0.95099,                 0.8702,                0.92194,                0.70292,                 1.0245,                0.81612,                 1.3913,               0.000496,               0.000496,               0.000496
